param,value,TB_final,solver,dt,time_sec
D_C,0.005,0.01148887782713761,semi_implicit,0.02,2.060262707993388
D_C,0.01,0.01148887782713754,semi_implicit,0.02,2.0690175415948033
D_C,0.02,0.01148887782713712,semi_implicit,0.02,2.122064762748778
D_C,0.03,0.011488877827137702,semi_implicit,0.02,2.130293833091855
alpha_S,0.4,0.018549818479908903,semi_implicit,0.02,2.1620527720078826
alpha_S,0.8,0.01148887782713774,semi_implicit,0.02,2.1229912796989083
alpha_S,1.0,0.0102723134150626,semi_implicit,0.02,1.9665212631225586
alpha_S,1.2,0.009623443601808258,semi_implicit,0.02,1.953317946754396
mu_max,0.0,0.01015873350247522,semi_implicit,0.02,1.918341894634068
mu_max,0.02,0.010708328843380157,semi_implicit,0.02,1.9734813934192061
mu_max,0.05,0.01148887782713774,semi_implicit,0.02,1.9798151385039091
mu_max,0.1,0.012683499447632859,semi_implicit,0.02,1.9213649071753025
